DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,I12,T3,S3,C10,I13,S11,S4,R1,T5,S8,C6,S14,S9,S7,C2,I11,S5,T2,S6,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_TOTAL,1980,75.25,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_TOTAL,1995,55.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_TOTAL,2005,77.51,,,23,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_TOTAL,1975,73.31,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_YGE65,1980,1.07,,,,,,,,,,,2262,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_YGE65,1995,1.30,,,,,,,,,,,2262,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_YGE65,2005,2.79,,,23,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_YGE65,1975,1.36,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y55-59,1995,74.10,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y55-59,1980,63.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y55-59,1975,57.13,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y55-59,2005,77.46,,,23,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y60-64,1995,58.50,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y60-64,1980,46.65,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y60-64,1975,45.38,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y60-64,2005,60.63,,,23,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y15-19,1995,25.10,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y15-19,1975,65.81,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y15-19,1980,45.32,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y15-19,2005,14.56,,,23,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_YGE65,1980,16.10,,,,,,,,,,,2262,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_YGE65,1975,18.35,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_YGE65,2005,17.30,,,23,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y15-24,1980,10.38,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y15-24,2005,28.41,,,23,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y15-24,1975,8.14,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y25-34,1980,23.04,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y25-34,2005,49.87,,,23,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y25-34,1975,13.94,,,,,,,,,,,1633,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_TOTAL,1980,15.82,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_TOTAL,2005,37.80,,,23,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_TOTAL,1975,10.15,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_TOTAL,1995,19.40,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y35-44,1980,19,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y35-44,2005,39.48,,,23,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y50-54,1975,64.31,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_ARE_EAP_DWAP_SEX_AGE_RT(1.0),YI,ARE,A,858,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y50-54,2005,81.55,,,23,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
