DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,I12,T3,S3,C10,I13,S11,S4,R1,T5,S8,C6,S14,S9,S7,C2,I11,S5,T2,S6,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_YGE25,1980,60.27,,,,,,,,,,,,,,,,,,81,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_Y15-24,1980,23.80,,,,,,,,,,,,,,,,,,81,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_Y15-64,1980,27.56,,,,,,,,,,,,,,,,,,81,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_TOTAL,1980,15.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_Y45-49,1980,30.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_Y10-14,1980,7.90,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_F,AGE_5YRBANDS_Y50-54,1980,31.20,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y20-24,1980,47.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_M,AGE_5YRBANDS_Y15-19,1980,44.60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_Y60-64,1980,60,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,13363,EAP_DWAP_RT,SEX_M,AGE_AGGREGATE_Y25-54,2004,73.09,,,,,,,,3513,,,,,,,,,,,,,RT,PT,0,,1,BX,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,13363,EAP_DWAP_RT,SEX_F,AGE_AGGREGATE_Y55-64,2004,40.58,,,,,,,,3513,,,,,,,,,,,,,RT,PT,0,,1,BX,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,13363,EAP_DWAP_RT,SEX_T,AGE_5YRBANDS_TOTAL,2004,41.38,,,,,,,,3513,,,,,,,,,,,,,RT,PT,0,,1,BX,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,13363,EAP_DWAP_RT,SEX_F,AGE_YTHADULT_YGE25,2004,42.03,,,,,,,,3513,,,,,,,,,,,,,RT,PT,0,,1,BX,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,13363,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_Y25-34,2004,47.93,,,,,,,,3513,,,,,,,,,,,,,RT,PT,0,,1,BX,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,13363,EAP_DWAP_RT,SEX_F,AGE_10YRBANDS_Y35-44,2004,51.97,,,,,,,,3513,,,,,,,,,,,,,RT,PT,0,,1,BX,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_T,AGE_YTHADULT_Y15-64,1980,53.79,,,,,,,,,,,,,,,,,,81,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
ILO:DF_YI_COM_EAP_DWAP_SEX_AGE_RT(1.0),YI,COM,A,1021,EAP_DWAP_RT,SEX_T,AGE_10YRBANDS_TOTAL,1980,29.70,,,,,,,,,,,,,,,,,,,,,RT,PT,0,,1,AA,EAP_DWAP_SEX_AGE_RT
