DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,ECO,TIME_PERIOD,OBS_VALUE,T3,S3,T12,I13,S11,S4,R1,T5,S14,I11,S7,S9,C5,S5,T2,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_M,2012,4.34,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_M,2017,5.11,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_M,2013,4.47,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_M,2014,4.47,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_M,2015,4.71,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_M,2010,4.14,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_M,2018,5.04,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_M,2016,4.89,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_M,2011,4.08,,,,,,,2384,,,264,,,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_M,2008,3.90,,,,,,,2384,,,264,,,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_M,2009,4.09,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2012,2.37,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2008,2.56,,,,,,,2384,,,264,,,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2013,2.62,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2016,2.50,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2011,2.35,,,,,,,2384,,,264,,,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2009,2.39,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2010,2.31,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2014,2.61,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2015,2.56,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2018,2.47,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2017,2.50,,,,,,,2384,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_U,2012,0.03,,,,,,,2384,,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_U,2017,0.02,,,,,,,2384,,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_U,2014,0.02,,,,,,,2384,,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_U,2008,0.01,,,,,,,2384,,,264,,,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_U,2015,0.02,,,,,,,2384,,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_CZE_EMP_TEMP_SEX_ECO_DT(1.0),YI,CZE,A,2249,EMP_TEMP_DT,SEX_T,ECO_ISIC4_U,2010,0.02,,,,,,,2384,,,,,,,,,U,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
