DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,ECO,TIME_PERIOD,OBS_VALUE,T3,S3,T12,I13,S11,S4,R1,T5,S14,I11,S7,S9,C5,S5,T2,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_RWA_EMP_TEMP_SEX_ECO_DT(1.0),YI,RWA,A,1590,EMP_TEMP_DT,SEX_T,ECO_ISIC2_1,1989,90.10,,,,,,,,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_RWA_EMP_TEMP_SEX_ECO_DT(1.0),YI,RWA,A,1590,EMP_TEMP_DT,SEX_T,ECO_ISIC2_6,1989,2.60,,,,,,,,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_RWA_EMP_TEMP_SEX_ECO_DT(1.0),YI,RWA,A,1590,EMP_TEMP_DT,SEX_T,ECO_ISIC2_7,1989,0.20,,,,,,,,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_RWA_EMP_TEMP_SEX_ECO_DT(1.0),YI,RWA,A,1590,EMP_TEMP_DT,SEX_M,ECO_ISIC2_3,1989,2.15,,,,,,,,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_RWA_EMP_TEMP_SEX_ECO_DT(1.0),YI,RWA,A,1590,EMP_TEMP_DT,SEX_M,ECO_ISIC2_5,1989,2.58,,,,,,,,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_RWA_EMP_TEMP_SEX_ECO_DT(1.0),YI,RWA,A,1590,EMP_TEMP_DT,SEX_M,ECO_ISIC2_7,1989,0.43,,,,,,,,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_RWA_EMP_TEMP_SEX_ECO_DT(1.0),YI,RWA,A,1590,EMP_TEMP_DT,SEX_M,ECO_ISIC2_9,1989,6.02,,,,,,,,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_RWA_EMP_TEMP_SEX_ECO_DT(1.0),YI,RWA,A,1590,EMP_TEMP_DT,SEX_F,ECO_ISIC2_TOTAL,1989,100,,,,,,,,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_RWA_EMP_TEMP_SEX_ECO_DT(1.0),YI,RWA,A,1590,EMP_TEMP_DT,SEX_T,ECO_SECTOR_IND,1989,2.90,,,,,,,,,,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_RWA_EMP_TEMP_SEX_ECO_DT(1.0),YI,RWA,A,1590,EMP_TEMP_DT,SEX_T,ECO_SECTOR_IND,2017,16.57,,,,,,,3513,,4077,,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_ECO_DT
