DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,STE,TIME_PERIOD,OBS_VALUE,S3,T3,I13,S4,R1,T5,S14,C2,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_M,STE_ICSE93_1,1995,14.26,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_M,STE_ICSE93_1,2005,15.49,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,1995,56.25,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2005,57.38,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_T,STE_ICSE93_1,2010,15.66,,,,,3513,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_T,STE_ICSE93_1,2017,31.64,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2010,54.35,,,,,3513,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2017,29.31,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_M,STE_ICSE93_5,2010,24.49,,,,,3513,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_M,STE_ICSE93_5,2017,31.93,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_F,STE_ICSE93_5,2010,45.24,,,,,3513,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_F,STE_ICSE93_5,2017,45.60,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_M,STE_AGGREGATE_EES,2010,20.39,,,,,3513,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_M,STE_AGGREGATE_EES,2017,36.62,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2017,0.76,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2010,0.22,,,,,3513,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2017,38.30,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2010,34.82,,,,,3513,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_T,STE_ICSE93_2,1995,0.25,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_T,STE_ICSE93_2,2005,0.26,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_M,STE_ICSE93_5,1995,29.10,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_M,STE_ICSE93_5,2005,26.83,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,418,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2010,34.79,,,,,,,,,,,239,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,418,EMP_TEMP_DT,SEX_F,STE_ICSE93_TOTAL,2010,100,,,,,,,,,,,239,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_T,STE_ICSE93_3,2010,49.03,,,,,3513,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_T,STE_ICSE93_3,2017,28.17,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_T,STE_AGGREGATE_TOTAL,2010,100,,,,,3513,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_T,STE_AGGREGATE_TOTAL,2017,100,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_F,STE_AGGREGATE_EES,2010,10.88,,,,,3513,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_F,STE_AGGREGATE_EES,2017,25.92,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_M,STE_AGGREGATE_TOTAL,2017,100,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_M,STE_AGGREGATE_TOTAL,2010,100,,,,,3513,,,,264,,,,B,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_M,STE_AGGREGATE_X,2017,0.70,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
