DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,ECO,TIME_PERIOD,OBS_VALUE,T3,S3,T12,I13,S11,S4,R1,T5,S14,I11,S7,S9,C5,S5,T2,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_T,ECO_SECTOR_TOTAL,1996,100,,20,,,,,,,,,,,,,239,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_T,ECO_SECTOR_TOTAL,2002,100,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_T,ECO_SECTOR_TOTAL,2007,100,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_M,ECO_SECTOR_TOTAL,1996,100,,20,,,,,,,,,,,,,239,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_M,ECO_SECTOR_TOTAL,2007,100,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_M,ECO_SECTOR_TOTAL,2002,100,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_F,ECO_SECTOR_SER,1996,82.49,,20,,,,,,,,,,,3340,,239,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_F,ECO_SECTOR_SER,2002,86.46,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_F,ECO_SECTOR_SER,2007,87.48,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_T,ECO_AGGREGATE_PUB,1996,38.03,,20,,,,,,,,,,,2037,,239,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_T,ECO_AGGREGATE_PUB,2007,37.57,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_T,ECO_AGGREGATE_PUB,2002,38.50,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_F,ECO_AGGREGATE_PUB,1996,42.71,,20,,,,,,,,,,,3340,,239,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_F,ECO_AGGREGATE_PUB,2002,47.42,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_F,ECO_AGGREGATE_PUB,2007,47.02,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_T,ECO_ISIC3_H,1996,12.10,,20,,,,,,,,,,,,,239,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_T,ECO_ISIC3_H,2002,8.70,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_PYF_EMP_TEMP_SEX_ECO_DT(1.0),YI,PYF,A,1569,EMP_TEMP_DT,SEX_T,ECO_ISIC3_H,2007,9.04,,22,,,,,,,,,,,,,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_ECO_DT
