DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,ECO,TIME_PERIOD,OBS_VALUE,T3,S3,T12,I13,S11,S4,R1,T5,S14,I11,S7,S9,C5,S5,T2,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_B,2013,0.34,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_J,2013,0.51,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_K,2013,0.95,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_N,2013,2.85,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_R,2013,0.39,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_ISIC4_A,2013,37.53,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_ISIC4_F,2013,4.25,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_ISIC4_Q,2013,1.63,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_ISIC4_S,2013,4.12,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_SECTOR_NAG,2013,63.27,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_SECTOR_X,2013,8.54,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_AGGREGATE_CON,2013,4.25,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_AGGREGATE_TOTAL,2013,100,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_F,ECO_AGGREGATE_MAN,2013,3.12,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_C,2013,5.46,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_L,2013,0.10,,,,,,,3513,,,,,,,,254,U,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_T,ECO_ISIC4_X,2013,11.76,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_ISIC4_Q,2013,1.44,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_SLB_EMP_TEMP_SEX_ECO_DT(1.0),YI,SLB,A,14050,EMP_TEMP_DT,SEX_M,ECO_ISIC4_X,2013,8.54,,,,,,,3513,,,,,,,,254,,DT,PT,0,,1,BB,EMP_TEMP_SEX_ECO_DT
