DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,ECO,TIME_PERIOD,OBS_VALUE,T3,S3,T12,I13,S11,S4,R1,T5,S14,I11,S7,S9,C5,S5,T2,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_YEM_EMP_TEMP_SEX_ECO_DT(1.0),YI,YEM,A,585,EMP_TEMP_DT,SEX_M,ECO_AGGREGATE_PUB,1991,18.94,,,,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_YEM_EMP_TEMP_SEX_ECO_DT(1.0),YI,YEM,A,585,EMP_TEMP_DT,SEX_M,ECO_AGGREGATE_PUB,1998,18.69,,,,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_YEM_EMP_TEMP_SEX_ECO_DT(1.0),YI,YEM,A,585,EMP_TEMP_DT,SEX_T,ECO_ISIC2_2,1991,0.42,,,,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_YEM_EMP_TEMP_SEX_ECO_DT(1.0),YI,YEM,A,585,EMP_TEMP_DT,SEX_M,ECO_ISIC2_3,1991,4.42,,,,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_YEM_EMP_TEMP_SEX_ECO_DT(1.0),YI,YEM,A,585,EMP_TEMP_DT,SEX_M,ECO_ISIC2_6,1991,12.09,,,,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_YEM_EMP_TEMP_SEX_ECO_DT(1.0),YI,YEM,A,585,EMP_TEMP_DT,SEX_F,ECO_ISIC2_1,1991,83.14,,,,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_YEM_EMP_TEMP_SEX_ECO_DT(1.0),YI,YEM,A,585,EMP_TEMP_DT,SEX_F,ECO_ISIC2_4,1991,0.22,,,,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_YEM_EMP_TEMP_SEX_ECO_DT(1.0),YI,YEM,A,585,EMP_TEMP_DT,SEX_M,ECO_SECTOR_X,1991,4.84,,,,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_YEM_EMP_TEMP_SEX_ECO_DT(1.0),YI,YEM,A,585,EMP_TEMP_DT,SEX_M,ECO_SECTOR_X,1998,0.95,,,,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_YEM_EMP_TEMP_SEX_ECO_DT(1.0),YI,YEM,A,585,EMP_TEMP_DT,SEX_F,ECO_SECTOR_SER,1991,13.37,,,,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
ILO:DF_YI_YEM_EMP_TEMP_SEX_ECO_DT(1.0),YI,YEM,A,585,EMP_TEMP_DT,SEX_F,ECO_SECTOR_SER,1998,9.24,,,,,,,,,,,,,,,,,DT,PT,0,,1,EA,EMP_TEMP_SEX_ECO_DT
