DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,STE,TIME_PERIOD,OBS_VALUE,S3,T3,I13,S4,R1,T5,S14,C2,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_M,STE_ICSE93_3,2018,9.90,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_T,STE_ICSE93_6,2018,13.12,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_T,STE_ICSE93_2,2018,2.17,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_F,STE_ICSE93_1,2018,81.64,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_F,STE_ICSE93_5,2018,0.33,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_T,STE_ICSE93_3,2018,7.89,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_F,STE_ICSE93_6,2018,10.80,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2018,0.35,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_M,STE_ICSE93_2,2018,3.11,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,2018,1.27,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_M,STE_ICSE93_TOTAL,2018,100,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_M,STE_ICSE93_1,2018,71.06,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_M,STE_ICSE93_5,2018,0.38,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_M,STE_ICSE93_6,2018,15.56,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_F,STE_ICSE93_TOTAL,2018,100,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_T,STE_ICSE93_TOTAL,2018,100,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_T,STE_ICSE93_1,2018,76.47,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_CUW_EMP_TEMP_SEX_STE_DT(1.0),YI,CUW,A,12900,EMP_TEMP_DT,SEX_F,STE_ICSE93_3,2018,5.97,11,94,,,,,3359,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
