DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,STE,TIME_PERIOD,OBS_VALUE,S3,T3,I13,S4,R1,T5,S14,C2,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_SWE_EMP_TEMP_SEX_STE_DT(1.0),YI,SWE,A,762,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,1987,4.73,,104,,,,,,,,,85,352,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SWE_EMP_TEMP_SEX_STE_DT(1.0),YI,SWE,A,762,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,1988,4.71,,104,,,,,,,,,85,352,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SWE_EMP_TEMP_SEX_STE_DT(1.0),YI,SWE,A,762,EMP_TEMP_DT,SEX_F,STE_ICSE93_2,1989,4.93,,104,,,,,,,,,85,352,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SWE_EMP_TEMP_SEX_STE_DT(1.0),YI,SWE,A,762,EMP_TEMP_DT,SEX_F,STE_ICSE93_5,1987,0.68,,104,,,,,,,,,85,352,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SWE_EMP_TEMP_SEX_STE_DT(1.0),YI,SWE,A,762,EMP_TEMP_DT,SEX_F,STE_ICSE93_5,1988,0.57,,104,,,,,,,,,85,352,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SWE_EMP_TEMP_SEX_STE_DT(1.0),YI,SWE,A,762,EMP_TEMP_DT,SEX_F,STE_ICSE93_5,1989,0.52,,104,,,,,,,,,85,352,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SWE_EMP_TEMP_SEX_STE_DT(1.0),YI,SWE,A,762,EMP_TEMP_DT,SEX_F,STE_ICSE93_1,1988,94.72,,104,,,,,,,,,85,352,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SWE_EMP_TEMP_SEX_STE_DT(1.0),YI,SWE,A,762,EMP_TEMP_DT,SEX_F,STE_ICSE93_1,1987,94.59,,104,,,,,,,,,85,352,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SWE_EMP_TEMP_SEX_STE_DT(1.0),YI,SWE,A,762,EMP_TEMP_DT,SEX_F,STE_ICSE93_1,1989,94.55,,104,,,,,,,,,85,352,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_SWE_EMP_TEMP_SEX_STE_DT(1.0),YI,SWE,A,762,EMP_TEMP_DT,SEX_M,STE_ICSE93_1,1989,87.02,,104,,,,,,,,,85,352,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
